ID	TEXT
song3-62	"And now I'm on the right, standing on the eject"
song3-63	"Wearin' light blue Pumas, a whole lotta gold"
song3-64	And jams like these keep me in control
song3-65	"I'm the leader of the show, keepin' you on the go"
song3-66	And I know I can't live without my radio
song3-67	Your energy level starts to increase
song3-68	As my big beat is slowly released
song3-69	I'm on the radio and at the jam
song3-70	LL Cool J is who I am
song3-71	"Imma make ya dance, boogie down and rock"
song3-72	And you'll scratch and shake to my musical plot
song3-73	And to expand my musical plan
song3-74	"Cut Creator, rock the beat with your hands"
song3-75	"That's right, so don't try to front the move"
song3-76	As you become motivated by the funky groove
song3-77	You can see me and Earl chillin' on the block
song3-78	With my box cold kickin' with the gangster rock
song3-79	"See people can't stop me, neither can the police"
song3-80	I'm a musical maniac to say the least
song3-81	For you and your radio I made this for
song3-82	Cool J's here to devastate once more
song3-83	"Pullin' all the girls, takin' out MCs"
song3-84	"If ya try to disrespect me, I just say Please!"
song3-85	Here to command the hip-hop land
song3-86	Kick it live with a box inside my hand
song3-87	"I'm the leader of the show, keepin' you on the go"
song3-88	But I know I can't live without my radio
song3-89	"Farmers Boulevard, yeah, you know that's where me and E hang out, cool"
song3-90	"out, you know what I'm sayin' That's where the crib's at."
song4-01	We're talking away
song4-02	I don't know what
song4-03	I'm to say I'll say it anyway
song4-04	Today's another day to find you
song4-05	Shying away
song4-06	"I'll be coming for your love, OK"
song4-07	"Take on me, take me on"
song4-08	I'll be gone
song4-09	In a day or two
song4-10	So needless to say
song4-11	I'm odds and ends
song4-12	But that's me stumbling away
song4-13	Slowly learning that life is OK.
song4-14	Say after me
song4-15	It's no better to be safe than sorry
song4-16	"Take on me, take me on"
song4-17	I'll be gone
song4-18	In a day or two
song4-19	Oh the things that you say
song4-20	Is it life or
song4-21	Just a play my worries away
song4-22	You're all the things I've got to
song4-23	remember
song4-24	You're shying away
song4-25	I'll be coming for you anyway
song4-26	"Take on me, take me on"
song4-27	I'll be gone
song4-28	In a day or two
song5-01	I got my head checked
song5-02	By a jumbo jet
song5-03	It wasn't easy
song5-04	"But nothing is, no"
song5-05	Whoo hoo!
song5-06	Well I feel heavy metal
song5-07	Whoo hoo!
song5-08	And I'm pins and I'm needles
song5-09	Whoo hoo!
song5-10	Well I lie and I'm easy
song5-11	All of the time and I'm never sure why I need you
song5-12	Pleased to meet ya
song5-13	I got my head done
song5-14	When I was young
song5-15	It's not my problem
song5-16	It's not my problem
song5-17	Whoo hoo!
song5-18	Well I feel heavy metal
song5-19	Whoo hoo!
song5-20	And I'm pins and I'm needles
song5-21	Whoo hoo!
song5-22	Well I lie and I'm easy
song5-23	All of the time and I'm never sure why I need you
song5-24	Pleased to meet ya
song5-25	"Yeah, yeah"
song5-26	"Yeah, yeah"
song5-27	"Yeah, yeah"
song5-28	"Oh, yeah"
song6-01	Back in black
song6-02	I hit the sack
song6-03	I've been too long I'm glad to be back
song6-04	"Yes I'm, let loose"
song6-05	From the noose
song6-06	That's kept me hanging about
song6-07	I keep looking at the sky
song6-08	Cause it's gettin' me high
song6-09	Forget the hearse 'cause I'll never die
song6-10	I got nine lives
song6-11	Cat's eyes
song6-12	Usin' every one of them and running wild
song6-13	Cause I'm back
song6-14	"Yes, I'm back"
song6-15	"Well, I'm back"
song6-16	"Yes, I'm back"
song6-17	"Well, I'm back, back"
song6-18	(Well) I'm back in black
song6-19	"Yes, I'm back in black"
song6-20	Back in the back
song6-21	Of a Cadillac
song6-22	"Number one with a bullet, I'm a power pack"
song6-23	"Yes, I'm in a bang"
song6-24	With a gang
song6-25	They've got to catch me if they want me to hang
song6-26	Cause I'm back on the track
song6-27	And I'm leadin' the pack
song6-28	Nobody's gonna get me on another rap
song6-29	So look at me now
song6-30	I'm just makin' my play
song6-31	"Don't try to push your luck, just get out of my way"
song6-32	Cause I'm back
song6-33	"Yes, I'm back"
song6-34	"Well, I'm back"
song6-35	"Yes, I'm back"
song6-36	"Well, I'm back, back"
song6-37	(Well) I'm back in black
song6-38	"Yes, I'm back in black"
song6-39	"Well, I'm back, Yes I'm back"
song6-40	"Well, I'm back, Yes I'm back"
song6-41	"Well, I'm back, back"
song6-42	Well I'm back in black
song6-43	Yes I'm back in black
song6-44	Hooo yeah
song6-45	Ohh yeah
song6-46	Yes I am
song6-47	"Oooh yeah, yeah Oh yeah"
song6-48	Back in now
song6-49	"Well I'm back, I'm back"
song6-50	"Back, I'm back"
song6-51	"Back, I'm back"
song6-52	"Back, I'm back"
song6-53	"Back, I'm back"
song6-54	Back
song6-55	Back in black
song6-56	Yes I'm back in black
song6-57	Outta sight
song7-01	She Was More Like A Beauty Queen From A Movie Scene
song7-02	"I Said Don't Mind, But What Do You Mean I Am The One"
song7-03	Who Will Dance On The Floor In The Round
song7-04	She Said I Am The One Who Will Dance On The Floor In The Round
song7-05	"She Told Me Her Name Was Billie Jean, As She Caused A Scene"
song7-06	Then Every Head Turned With Eyes That Dreamed Of Being The One
song7-07	Who Will Dance On The Floor In The Round
song7-08	People Always Told Me Be Careful Of What You Do
song7-09	And Don't Go Around Breaking Young Girls' Hearts
song7-10	And Mother Always Told Me Be Careful Of Who You Love
song7-11	And Be Careful Of What You Do 'Cause The Lie Becomes The Truth
song7-12	Billie Jean Is Not My Lover
song7-13	She's Just A Girl Who Claims That I Am The One
song7-14	But The Kid Is Not My Son
song7-15	"She Says I Am The One, But The Kid Is Not My Son"
song7-16	For Forty Days And Forty Nights
song7-17	The Law Was On Her Side
song7-18	But Who Can Stand When She's In Demand
song7-19	Her Schemes And Plans
song7-20	Cause We Danced On The Floor In The Round
song7-21	"So Take My Strong Advice, Just Remember To Always Think Twice"
song7-22	(Do Think Twice)
song7-23	She Told My Baby That's A Threat
song7-24	As She Looked At Me
song7-25	Then Showed A Photo Of A Baby Cries
song7-26	Eyes Would Like Mine
song7-27	"Go On Dance On The Floor In The Round, Baby"
song7-28	People Always Told Me Be Careful Of What You Do
song7-29	And Don't Go Around Breaking Young Girls' Hearts
song7-30	She Came And Stood Right By Me
song7-31	Then The Smell Of Sweet Perfume
song7-32	This Happened Much Too Soon
song7-33	She Called Me To Her Room
song7-34	Billie Jean Is Not My Lover
song7-35	She's Just A Girl Who Claims That I Am The One
song7-36	But The Kid Is Not My Son
song7-37	Billie Jean Is Not My Lover
song7-38	She's Just A Girl Who Claims That I Am The One
song7-39	But The Kid Is Not My Son
song7-40	"She Says I Am The One, But The Kid Is Not My Son"
song7-41	"She Says I Am The One, But The Kid Is Not My Son"
song7-42	Billie Jean Is Not My Lover
song7-43	She's Just A Girl Who Claims That I Am The One
song7-44	But The Kid Is Not My Son
song7-45	"She Says I Am The One, But The Kid Is Not My Son"
song7-46	"She Says I Am The One, She Says He Is My Son"
song7-47	She Says I Am The One
song7-48	Billie Jean Is Not My Lover
song7-49	Billie Jean Is Not My Lover
song7-50	Billie Jean Is Not My Lover
song7-51	Billie Jean Is Not My Lover
song7-52	Billie Jean Is Not My Lover
song7-53	Billie Jean Is Not My Lover
song8-01	Aah
song8-02	Buddy you're a boy make a big noise
song8-03	Playin' in the street gonna be a big man some day
song8-04	You got mud on yo' face
song8-05	You big disgrace
song8-06	Kickin' your can all over the place
song8-07	Singin'
song8-08	We will we will rock you
song8-09	We will we will rock you
song8-10	Buddy you're a young man hard man
song8-11	Shouting in the street gonna take on the world some day
song8-12	You got blood on yo' face
song8-13	You big disgrace
song8-14	Wavin' your banner all over the place
song8-15	We will we will rock you
song8-16	Sing it
song8-17	We will we will rock you
song8-18	Buddy you're an old man poor man
song8-19	Pleadin' with your eyes gonna make
song8-20	You some peace some day
song8-21	You got mud on your face
song8-22	Big disgrace
song8-23	Somebody betta put you back into your place
song8-24	We will we will rock you
song8-25	Sing it
song8-26	We will we will rock you
song8-27	Everybody
song8-28	We will we will rock you
song8-29	We will we will rock you
song8-30	Alright
song9-01	She's got a smile that it seems to me
song9-02	Reminds me of childhood memories
song9-03	Where everything
song9-04	Was as fresh as the bright blue sky
song9-05	Now and then when I see her face
song9-06	She takes me away to that
song9-07	special place
song9-08	And if I stared too long
song9-09	I'd probably break down and cry
song9-10	Sweet child o' mine
song9-11	Sweet love of mine
song9-12	She's got eyes of the bluest skies
song9-13	As if they thought of rain
song9-14	I hate to look into those eyes
song9-15	And see an ounce of pain
song9-16	Her hair reminds me
song9-17	of a warm safe place
song9-18	Where as a child I'd hide
song9-19	And pray for the thunder
song9-20	And the rain
song9-21	To quietly pass me by
song9-22	Sweet child o' mine
song9-23	Sweet love of mine
song9-24	Where do we go
song9-25	Where do we go now
song9-26	Where do we go
song9-27	Sweet child o' mine
song10-01	YOU
song10-02	YOU HAVE
song10-03	YOU GOT ME
song10-04	YOU ASKED ME
song10-05	YOU ASKED ME AND I DID NOT SAY ANYTHING
song10-06	WILL YOU UNTIL DEATH DO YOU PART
song10-07	BE FAITHFUL TO HER FOR ALL DAYS
song10-08	NO
song10-09	"DO YOU WANT, UNTIL DEATH SEPARATES YOU"
song10-10	THEY LOVE EVEN IN BAD DAYS
song10-11	NO
